route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
679-95,          0,679,"Express Co Rd 73  Target Field",,3,http://www.metrotransit.org/route/679,,000000
684-95,          6,684,"SW Transit - Express - Eden Prairie - Southdale",,3,http://www.metrotransit.org/route/684,,000000
687-95,          6,687,"SW Transit - Express - Eden Prairie - Target N Cam",,3,http://www.metrotransit.org/route/687,,000000
690-95,          6,690,"SW Transit - Express - Eden Prairie - Mpls",,3,http://www.metrotransit.org/route/690,,000000
691-95,          6,691,"SW Transit - Express - Eden Prairie - Mpls",,3,http://www.metrotransit.org/route/691,,000000
692-95,          6,692,"SW Transit - Express - Chanhassen",,3,http://www.metrotransit.org/route/692,,000000
694-95,          6,694,"SW Transit - Express - Best Buy - Normandale",,3,http://www.metrotransit.org/route/694,,000000
695-95,          6,695,"SW Transit - Express - Chaska - Chanhassen - Mpls",,3,http://www.metrotransit.org/route/695,,000000
697-95,          6,697,"SW Transit - Express - Carver-Chaska - Mpls",,3,http://www.metrotransit.org/route/697,,000000
698-95,          6,698,"SW Transit - Express - Chaska - Chanhassen - Mpls",,3,http://www.metrotransit.org/route/698,,000000
699-95,          6,699,"SW Transit - Express - Chaska - Mpls",,3,http://www.metrotransit.org/route/699,,000000
705-95,          2,705,"Starlite - Winnetka Av",,3,http://www.metrotransit.org/route/705,,000000
716-95,          2,716,"Zane Av - 63rd Av - Crystal - Robbinsdale",,3,http://www.metrotransit.org/route/716,,000000
717-95,          2,717,"Brooklyn Center - Robbinsdale-Plymouth",,3,http://www.metrotransit.org/route/717,,000000
721-95,          0,721,"Ltd Stop - Brooklyn Center - New Hope - Mpls",,3,http://www.metrotransit.org/route/721,,000000
722-95,          0,722,"Brooklyn Ctr - Humboldt Av N - Shingle Creek Pkwy",,3,http://www.metrotransit.org/route/722,,000000
723-95,          0,723,"Starlite - North Henn Comm College - Brooklyn Ctr",,3,http://www.metrotransit.org/route/723,,000000
724-95,          0,724,"Ltd Stop - Target Campus - Starlite - Brooklyn Ctr",,3,http://www.metrotransit.org/route/724,,000000
740-95,          5,740,"Plymouth - Fernbrook Ln - Xenium Ln",,3,http://www.metrotransit.org/route/740,,000000
741-95,          5,741,"Plymouth - Annapolis - Campus Dr - Station 73",,3,http://www.metrotransit.org/route/741,,000000
742-95,          5,742,"Plymouth - Express - Bass Lake Rd",,3,http://www.metrotransit.org/route/742,,000000
747-95,          5,747,"Plymouth - Express - Station 73 - Mpls",,3,http://www.metrotransit.org/route/747,,000000
755-95,          0,755,"Ltd Stop - Hwy 55 - Golden Valley Rd - Winnetka Av",,3,http://www.metrotransit.org/route/755,,000000
756-95,          0,756,"Express- Hwy 55 - Mendelssohn Rd - Boone Av",,3,http://www.metrotransit.org/route/756,,000000
758-95,          0,758,"Express - Douglas - MnDot P&R - Noble - Mpls",,3,http://www.metrotransit.org/route/758,,000000
760-95,          0,760,"Express - Zane Av - 63rd Av - 65th Av P&R - Mpls",,3,http://www.metrotransit.org/route/760,,000000
761-95,          0,761,"Express - Brooklyn Park - Xerxes - 49th Av - Mpls",,3,http://www.metrotransit.org/route/761,,000000
