MESSAGE_TYPE_ID,TRANSMITTED_MESSAGE_ID,CALENDAR_ID,LATITUDE,Lat,LONGITUDE,Long,ADHERENCE,MESSAGE_TIMESTAMP,LOCAL_TIMESTAMP,Trip_Seq,DIRECTION,ODOMETER,SOURCE_HOST,ROUTE_ABBR,NODE_ABBR,FOM,MESSAGE_TYPE_TEXT
12,2764180857,120161001,449179687,44.9179687,-931729976,-93.1729976,0,2016-10-01T14:52:16.013Z,2016-10-01T09:52:11.207Z,72,1,2472,2639,921,GRSN,2,Vehicle Location
16,1051615305,120161001,449179820,44.917982,-931850968,-93.1850968,0,2016-10-01T14:53:40.003Z,2016-10-01T09:53:40.003Z,73,1,2531,2639,921,KEFO,2,Timepoint Crossing
128,1051615308,120161001,449180280,44.918028,-931776095,-93.1776095,,2016-10-01T14:53:44.807Z,2016-10-01T09:53:44.807Z,74,1,2494,2639,921,KEFO,2,Verbose Pass Count
12,2764181031,120161001,449179879,44.9179879,-931872523,-93.1872523,0,2016-10-01T14:53:54.403Z,2016-10-01T09:53:44.807Z,75,1,2541,2639,921,KEFO,2,Vehicle Location
128,1051615357,120161001,449179783,44.9179783,-931903588,-93.1903588,,2016-10-01T14:55:05.210Z,2016-10-01T09:55:05.210Z,76,1,2556,2639,921,KEFO,2,Verbose Pass Count
12,2764181167,120161001,449179378,44.9179378,-931967894,-93.1967894,1,2016-10-01T14:55:09.017Z,2016-10-01T09:55:05.210Z,77,1,2588,2639,921,KEFO,2,Vehicle Location
12,2764181286,120161001,449197138,44.9197138,-932074505,-93.2074505,1,2016-10-01T14:56:11.807Z,2016-10-01T09:55:05.210Z,78,1,2645,2639,921,KEFO,2,Vehicle Location
128,1051615432,120161001,449197930,44.919793,-932080745,-93.2080745,,2016-10-01T14:57:15.423Z,2016-10-01T09:57:15.423Z,79,1,2648,2639,921,KEFO,2,Verbose Pass Count
12,2764181412,120161001,449197644,44.9197644,-932133922,-93.2133922,1,2016-10-01T14:57:19.013Z,2016-10-01T09:57:15.423Z,80,1,2676,2639,921,KEFO,2,Vehicle Location
12,2764181545,120161001,449198705,44.9198705,-932204422,-93.2204422,1,2016-10-01T14:58:22.863Z,2016-10-01T09:57:15.423Z,81,1,2709,2639,921,KEFO,2,Vehicle Location
16,1051615515,120161001,449207426,44.9207426,-932201834,-93.2201834,1,2016-10-01T14:58:47.217Z,2016-10-01T09:58:47.217Z,82,1,2717,2639,921,46HI,2,Timepoint Crossing
12,2764181595,120161001,449209113,44.9209113,-932202966,-93.2202966,1,2016-10-01T14:58:48.527Z,2016-10-01T09:58:47.217Z,83,1,2718,2639,921,46HI,2,Vehicle Location
12,2764181729,120161001,449212294,44.9212294,-932204321,-93.2204321,0,2016-10-01T14:59:49.007Z,2016-10-01T09:58:47.217Z,84,1,2720,2639,921,46HI,2,Vehicle Location
12,2764181862,120161001,449212381,44.9212381,-932204249,-93.2204249,0,2016-10-01T15:00:51.423Z,2016-10-01T09:58:47.217Z,85,1,2720,2639,921,46HI,2,Vehicle Location
12,2764181999,120161001,449212370,44.921237,-932204273,-93.2204273,0,2016-10-01T15:01:51.420Z,2016-10-01T09:58:47.217Z,86,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182122,120161001,449212335,44.9212335,-932204365,-93.2204365,0,2016-10-01T15:02:51.420Z,2016-10-01T09:58:47.217Z,87,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182253,120161001,449212359,44.9212359,-932204544,-93.2204544,0,2016-10-01T15:03:51.417Z,2016-10-01T09:58:47.217Z,88,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182384,120161001,449212162,44.9212162,-932204647,-93.2204647,0,2016-10-01T15:04:51.417Z,2016-10-01T09:58:47.217Z,89,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182518,120161001,449212028,44.9212028,-932204689,-93.2204689,0,2016-10-01T15:05:51.413Z,2016-10-01T09:58:47.217Z,90,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182665,120161001,449212036,44.9212036,-932204651,-93.2204651,0,2016-10-01T15:06:53.813Z,2016-10-01T09:58:47.217Z,91,1,2720,2639,921,46HI,14,Vehicle Location
12,2764182801,120161001,449212053,44.9212053,-932204596,-93.2204596,0,2016-10-01T15:07:53.827Z,2016-10-01T09:58:47.217Z,92,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182943,120161001,449212041,44.9212041,-932204581,-93.2204581,0,2016-10-01T15:08:53.827Z,2016-10-01T09:58:47.217Z,93,1,2720,2639,921,46HI,2,Vehicle Location
12,2764183079,120161001,449212047,44.9212047,-932204602,-93.2204602,0,2016-10-01T15:09:53.823Z,2016-10-01T09:58:47.217Z,94,1,2720,2639,921,46HI,2,Vehicle Location
16,1051616973,120161001,449209469,44.9209469,-932208789,-93.2208789,0,2016-10-01T15:10:26.333Z,2016-10-01T10:10:26.333Z,1,4,2724,2639,921,46HI,2,Timepoint Crossing
