ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161001-2646-15,120161001,2016-10-01 22:25:20.610000,-932208214,449209214,2016-10-01 23:12:15.027000,-931685205,450125242,921.0,4.0,Saturday,Saturday,68
120161001-2646-16,120161001,2016-10-01 23:13:11.763000,-931682557,450122537,2016-10-01 23:56:53.437000,-932205283,449213187,921.0,1.0,Saturday,Saturday,59
120161001-2646-17,120161001,2016-10-01 23:57:18.897000,-932208901,449209796,2016-10-02 00:43:07.477000,-931684424,450124659,921.0,4.0,Saturday,Saturday,69
120161001-2646-18,120161001,2016-10-02 00:43:20.443000,-931680362,450123016,2016-10-02 01:26:39.467000,-932204565,449213010,921.0,1.0,Saturday,Saturday,64
120161001-2646-19,120161001,2016-10-02 01:27:33.660000,-932208184,449209319,2016-10-02 02:18:04.477000,-931684057,450123916,921.0,4.0,Saturday,Saturday,68
120161001-2646-20,120161001,2016-10-02 02:18:11.670000,-931681592,450122644,2016-10-02 02:58:16.877000,-932204952,449212574,921.0,1.0,Saturday,Saturday,59
120161001-2646-21,120161001,2016-10-02 02:59:14.100000,-932208723,449209754,2016-10-02 03:48:11.490000,-931685313,450125476,921.0,4.0,Saturday,Saturday,69
120161001-2646-22,120161001,2016-10-02 03:49:06.510000,-931681750,450122581,2016-10-02 04:43:49.303000,-932204510,449212963,921.0,1.0,Saturday,Saturday,73
120161001-2646-23,120161001,2016-10-02 04:44:15.103000,-932208161,449209017,2016-10-02 05:18:55.907000,-931685259,450125676,921.0,4.0,Saturday,Saturday,51
120161001-2646-24,120161001,2016-10-02 05:19:11.647000,-931681989,450122592,2016-10-02 05:53:33.123000,-932436059,448636438,921.0,1.0,Saturday,Saturday,48
120161002-2646-00,120161002,2016-10-02 05:53:37.320000,-932435247,448635809,2016-10-02 13:16:03.963000,-932435130,448639623,921.0,1.0,Sunday,Sunday,96
120161002-2646-01,120161002,2016-10-02 13:16:11.157000,-932435130,448639623,2016-10-02 14:24:22.097000,-931685271,450125655,921.0,4.0,Sunday,Sunday,83
120161002-2646-02,120161002,2016-10-02 14:25:02.000000,-931680968,450128944,2016-10-02 15:08:27.827000,-932204755,449212854,921.0,1.0,Sunday,Sunday,63
120161002-2646-03,120161002,2016-10-02 15:09:05.000000,-932204087,449211728,2016-10-02 15:53:29.387000,-931684377,450126241,921.0,4.0,Sunday,Sunday,65
120161002-2646-04,120161002,2016-10-02 15:54:18.000000,-931682221,450128070,2016-10-02 16:37:24.187000,-932208598,449213169,921.0,1.0,Sunday,Sunday,61
120161002-2646-05,120161002,2016-10-02 16:37:32.000000,-932204143,449211867,2016-10-02 17:23:01.990000,-931685090,450125681,921.0,4.0,Sunday,Sunday,62
120161002-2646-06,120161002,2016-10-02 17:23:43.000000,-931683778,450126539,2016-10-02 18:06:57.237000,-932205007,449211995,921.0,1.0,Sunday,Sunday,66
120161002-2646-07,120161002,2016-10-02 18:07:31.000000,-932204583,449211429,2016-10-02 18:52:12.607000,-931685710,450124832,921.0,4.0,Sunday,Sunday,64
120161002-2646-08,120161002,2016-10-02 18:52:24.600000,-931681342,450122661,2016-10-02 19:37:21.827000,-932208761,449211075,921.0,1.0,Sunday,Sunday,64
120161002-2646-09,120161002,2016-10-02 19:37:26.000000,-932204304,449211360,2016-10-02 20:22:32.627000,-931684473,450125769,921.0,4.0,Sunday,Sunday,67
120161002-2646-10,120161002,2016-10-02 20:23:04.467000,-931681331,450122729,2016-10-02 21:07:23.643000,-932208409,449210988,921.0,1.0,Sunday,Sunday,68
